lat,lng,laser_lat,laser_lon,alt,yaw,pitch,roll
33.453067,-82.219374,33.453134,-82.219437,10.1,277,-1,-2
33.453021,-82.219425,33.453118,-82.219519,15.2,276,0,-1
33.453015,-82.219434,33.453151,-82.219566,20.1,276,-1,-2
33.452967,-82.219334,33.453169,-82.219497,25.2,281,0,-2
33.452940,-82.219245,33.453194,-82.219450,30.8,281,0,-2
33.452912,-82.219160,33.453228,-82.219397,35.6,283,1,0
33.452915,-82.219138,33.453268,-82.219412,40.3,282,0,-2
33.452939,-82.219163,33.453290,-82.219457,44.5,280,0,-1
33.452936,-82.219175,33.453244,-82.219424,50.8,281,0,-2
33.452912,-82.219179,33.453328,-82.219542,55.2,279,0,-3
33.452914,-82.219125,33.453391,-82.219555,60.7,278,0,-2
33.452919,-82.219107,33.453454,-82.219556,65.1,280,1,-2
33.452906,-82.219104,33.453499,-82.219584,70.5,281,1,-3
33.452835,-82.219082,33.453441,-82.219590,75.2,280,-1,-3
33.452856,-82.219018,33.453483,-82.219564,80.5,279,0,-1
33.452860,-82.219009,33.453536,-82.219620,85.3,278,0,0
33.452844,-82.218949,33.453600,-82.219607,90.6,279,1,-1
33.452840,-82.218948,33.453609,-82.219617,95.6,279,0,-3
33.452856,-82.218900,33.453634,-82.219655,100.9,276,0,-2
